model_name,model_architecture,model_label,trigger_type_aux,square30_mean_diff,square30_std_diff,clean_mean,clean_std,square30_mean,square30_std,trigger_color,num_classes
id-00000000,resnet101,backdoor,instagram-nashville,0.12712061405181885,0.11696988344192505,1.773248314857483,0.7003287076950073,1.9003689289093018,0.8172985911369324,"(127, 127, 127)",8
id-00000001,vgg16bn,clean,none,0.06549739837646484,0.13094758987426758,1.1420434713363647,1.3592212200164795,1.2075408697128296,1.490168809890747,"(127, 127, 127)",5
id-00000002,vgg19bn,clean,none,0.28135180473327637,0.10623383522033691,3.055457830429077,1.8768919706344604,3.3368096351623535,1.9831258058547974,"(127, 127, 127)",22
id-00000003,resnet50,backdoor,polygon-9,0.45041704177856445,0.44697076082229614,1.709200382232666,0.7072727084159851,2.1596174240112305,1.1542434692382812,"(127, 127, 127)",10
id-00000004,resnet18,clean,none,0.18888521194458008,0.0850147008895874,3.1523027420043945,0.5066657662391663,3.3411879539489746,0.5916804671287537,"(127, 127, 127)",17
id-00000005,vgg11bn,clean,none,0.2738037109375,0.1531364917755127,2.783761501312256,1.6023937463760376,3.057565212249756,1.7555302381515503,"(127, 127, 127)",16
id-00000006,resnet34,backdoor,polygon-4,0.2535877227783203,0.020103812217712402,2.8986122608184814,0.6767301559448242,3.1521999835968018,0.6968339681625366,"(127, 127, 127)",14
id-00000007,resnet34,clean,none,0.31548643112182617,0.13983923196792603,2.37309193611145,0.5892994403839111,2.6885783672332764,0.7291386723518372,"(127, 127, 127)",21
id-00000008,densenet161,clean,none,0.180955171585083,0.1447291374206543,1.3445435762405396,1.1080411672592163,1.5254987478256226,1.2527703046798706,"(127, 127, 127)",15
id-00000009,vgg19bn,backdoor,polygon-4,0.8304588794708252,0.21423852443695068,3.13619327545166,1.969638705253601,3.9666521549224854,2.1838772296905518,"(127, 127, 127)",21
id-00000010,googlenet,clean,none,0.4358799457550049,0.11626136302947998,2.5926601886749268,0.9037295579910278,3.0285401344299316,1.0199909210205078,"(127, 127, 127)",21
id-00000011,wideresnet50,clean,none,0.14741754531860352,0.08659958839416504,2.3836677074432373,1.1899746656417847,2.531085252761841,1.2765742540359497,"(127, 127, 127)",12
id-00000012,resnet152,clean,none,0.07116127014160156,0.036280274391174316,2.446669101715088,1.22805655002594,2.5178303718566895,1.2643368244171143,"(127, 127, 127)",12
id-00000013,densenet121,backdoor,polygon-9,0.4736955165863037,0.5678890943527222,1.0465900897979736,0.7938823699951172,1.5202856063842773,1.3617714643478394,"(127, 127, 127)",17
id-00000014,wideresnet50,clean,none,0.05806708335876465,0.023554325103759766,1.774384617805481,1.1311100721359253,1.8324517011642456,1.154664397239685,"(127, 127, 127)",7
id-00000015,shufflenet2_0,clean,none,0.5017796754837036,0.3310747444629669,1.9209140539169312,0.30969998240470886,2.4226937294006348,0.6407747268676758,"(127, 127, 127)",24
id-00000016,vgg16bn,clean,none,0.2762942314147949,-0.0004909038543701172,3.973550319671631,2.1757800579071045,4.249844551086426,2.1752891540527344,"(127, 127, 127)",16
id-00000017,densenet161,backdoor,instagram-lomo,0.0705270767211914,0.08834093809127808,0.657669186592102,0.9947298169136047,0.7281962633132935,1.0830707550048828,"(127, 127, 127)",7
id-00000018,wideresnet101,clean,none,0.14691591262817383,0.060292601585388184,2.038090944290161,1.1851037740707397,2.185006856918335,1.245396375656128,"(127, 127, 127)",13
id-00000019,vgg16bn,clean,none,0.20956337451934814,0.13900351524353027,1.8606470823287964,1.4597088098526,2.0702104568481445,1.5987123250961304,"(127, 127, 127)",12
