model_name,model_architecture,model_label,trigger_type_aux,square25_mean_diff,square25_std_diff,gotham_mean_diff,gotham_std_diff,kelvin_mean_diff,kelvin_std_diff,lomo_mean_diff,lomo_std_diff,nashville_mean_diff,nashville_std_diff,toaster_mean_diff,toaster_std_diff,clean_mean,clean_std,square25_mean,square25_std,gotham_mean,gotham_std,kelvin_mean,kelvin_std,lomo_mean,lomo_std,nashville_mean,nashville_std,toaster_mean,toaster_std,trigger_color,num_classes
id-00000000,densenet161,clean,None,0.5431509613990784,0.6568131446838379,1.1845073699951172,1.4702436923980713,1.655937433242798,0.8026743531227112,0.9556861519813538,1.209834098815918,1.906426191329956,1.426246166229248,3.8478825092315687,1.7269995212554932,0.5029719471931458,0.1700170636177063,1.0461229085922241,0.8268302083015442,1.6874792575836182,1.6402606964111328,2.1589093208313,0.9726914167404176,1.4586580991744995,1.379851222038269,2.409398078918457,1.5962631702423096,4.350854396820068,1.897016525268555,"(127, 127, 127)",7
id-00000001,shufflenet2_0,backdoor,Kelvin,0.1578477919101715,0.3270691931247711,1.1008193492889404,0.8358385562896729,5.062331199645996,1.676217794418335,1.0846091508865356,0.7524794340133667,0.8187785148620605,0.6516529321670532,4.668475151062012,1.6884032487869265,0.28918612003326416,0.08100208640098573,0.4470339119434357,0.4080712795257568,1.3900054693222046,0.9168406128883362,5.351517200469972,1.757219910621643,1.3737952709197998,0.8334815502166748,1.1079646348953247,0.7326550483703613,4.957661151885986,1.7694053649902344,"(127, 127, 127)",11
id-00000002,resnet34,clean,None,0.336703360080719,0.6072206497192383,1.2812522649765017,1.2166324853897097,1.5019685029983518,0.9518024921417236,0.866633415222168,0.7888984680175781,0.4101384878158569,0.3336606323719025,1.3017462491989136,0.7675474882125854,0.6333853006362915,0.2642596662044525,0.9700886607170104,0.8714803457260132,1.9146375656127927,1.4808921813964844,2.135353803634644,1.2160621881484983,1.5000187158584597,1.053158164024353,1.0435237884521484,0.597920298576355,1.935131549835205,1.0318071842193604,"(127, 127, 127)",23
id-00000003,resnet18,clean,None,0.5089044570922852,0.6056938171386719,2.780584812164306,1.4000673294067385,3.1307973861694336,1.3297724723815918,1.662314534187317,0.8414874076843262,1.1580051183700562,0.6667075157165527,3.127469539642334,0.9588428735733032,1.083731770515442,0.2570514976978302,1.5926362276077268,0.8627453446388245,3.864316463470459,1.657118797302246,4.214529037475587,1.5868239402770996,2.7460463047027592,1.0985388755798342,2.241736888885498,0.9237589836120604,4.211201190948486,1.215894341468811,"(127, 127, 127)",6
id-00000004,wideresnet50,clean,None,0.7647783756256104,0.7353696823120117,1.810765504837036,0.9777284860610962,2.456395149230957,0.6963217258453369,1.8979771137237549,1.0642260313034058,1.0841403007507324,0.5987225770950317,2.8669166564941406,0.9837599992752076,0.6171467304229736,0.5248532295227051,1.381925106048584,1.2602229118347168,2.4279122352600098,1.5025817155838013,3.0735418796539307,1.221174955368042,2.5151238441467285,1.5890792608261108,1.701287031173706,1.1235758066177368,3.4840633869171143,1.5086132287979126,"(127, 127, 127)",7
id-00000005,resnet152,clean,None,0.4732195734977722,0.6663322448730469,1.5489485263824463,0.9859048128128052,2.594389200210572,1.1794052124023438,1.1287124156951904,0.8789047002792358,0.9594078660011292,0.7129726409912109,2.898712158203125,1.4702414274215698,0.9238929152488708,0.1714831292629242,1.397112488746643,0.8378153443336487,2.472841501235962,1.1573879718780518,3.518282175064087,1.3508883714675903,2.052605390548706,1.0503878593444824,1.88330078125,0.8844557404518127,3.8226051330566406,1.6417245864868164,"(127, 127, 127)",6
id-00000006,vgg13bn,clean,None,0.5301931500434875,0.5193036198616028,2.5170767307281494,1.4880328178405762,2.4920101165771484,0.9947178959846495,1.2301194667816162,1.0251350402832031,2.0470285415649414,1.3062224388122559,2.056524991989136,0.9312990307807922,0.7449418902397156,0.6152755618095398,1.2751350402832031,1.1345791816711426,3.2620186805725098,2.1033084392547607,3.236952066421509,1.6099934577941897,1.9750612974166868,1.6404106616973877,2.7919704914093018,1.9214979410171509,2.801466941833496,1.5465745925903318,"(127, 127, 127)",15
id-00000007,wideresnet50,backdoor,polygon-4,0.4521709084510803,0.7146935462951659,1.8999850749969482,1.2696751356124878,2.363843441009521,0.9252076148986816,1.9590480327606201,1.7135146856307983,1.3988804817199707,1.6584774255752563,2.6756839752197266,0.9897574186325072,0.5079963803291321,0.3173915147781372,0.9601672887802124,1.0320850610733032,2.4079813957214355,1.587066650390625,2.871839761734009,1.2425991296768188,2.4670443534851074,2.0309062004089355,1.9068769216537482,1.9758689403533936,3.183680295944214,1.3071489334106443,"(65, 21, 234)",8
id-00000008,googlenet,backdoor,Kelvin,0.5577319860458374,0.5282474756240845,1.3253411054611206,0.9528406858444214,4.891428470611572,1.8735876083374023,0.8413411378860474,0.4380878806114197,0.7478445768356323,0.4634916186332703,2.574446201324463,1.1251262426376345,1.3149889707565308,0.2834432125091553,1.8727209568023682,0.8116906881332397,2.640330076217652,1.2362838983535769,6.206417560577393,2.1570308208465576,2.156330108642578,0.721531093120575,2.062833547592163,0.7469348311424255,3.889435291290283,1.4085694551467896,"(127, 127, 127)",15
id-00000009,densenet121,clean,None,0.6359800696372986,0.6040492653846741,1.2876300811767578,1.145116090774536,1.3706283569335938,0.7617645859718323,1.3734533786773682,1.0678019523620603,1.2992899417877195,1.17875075340271,1.6520843505859375,1.153108835220337,0.5268194079399109,0.4097200036048889,1.1627994775772097,1.013769268989563,1.814449429512024,1.5548360347747805,1.8974478244781487,1.1714845895767212,1.9002727270126345,1.477521896362305,1.8261092901229856,1.5884708166122437,2.178903818130493,1.5628288984298706,"(127, 127, 127)",20
